task_name,url
"Pick Banana and place it in mug","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_place_in_mug.tar.gz"
"Pick Banana and place it in strainer","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_place_in_strainer.tar.gz"
"Pick banana from plate and place on table","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_from_plate_place_on_table.tar.gz"
"Pick banana from toaster and place on table","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_from_toaster_place_on_table.tar.gz"
"Pick banana from table and place on plate","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_place_on_plate.tar.gz"
"Pick banana from table and place on toaster","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_banana_place_on_toaster.tar.gz"
"Pick Ketchup from the table and place it in strainer","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_place_in_strainer.tar.gz"
"Pick Ketchup from the table and place in toaster","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_place_in_toaster.tar.gz"
"Pick ketchup from strainer and place it on the table","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_from_strainer_place_on_table.tar.gz"
"Pick ketchup from plate and place it on table","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_from_plate_place_on_table.tar.gz"
"Pick Ketchup from toaster and place it on table","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_from_toaster_place_on_table.tar.gz"
"Pick ketchup from table and place on plate","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_place_on_plate.tar.gz"
"Pick ketchup from table and place on toaster","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/pick_ketchup_place_on_toaster.tar.gz"
"Drag mug backwards","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_mug_backward.tar.gz"
"Drag mug forwards","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_mug_forward.tar.gz"
"Drag mug left to right","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_mug_from_left_to_right.tar.gz"
"Drag mug right to left","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_mug_from_right_to_left.tar.gz"
"Drag strainer backwards","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_strainer_backward.tar.gz"
"Drag strainer forwards","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_strainer_forward.tar.gz"
"Drag strainer left to right","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_strainer_left_to_right.tar.gz"
"Drag strainer right to left","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/drag_strainer_right_to_left.tar.gz"
"Flap open toaster","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/flap_open_toaster_oven.tar.gz"
"Flap close toaster","https://dl.fbaipublicfiles.com/RoboSet/KinestheticSet/Activities/flap_close_toaster_oven.tar.gz"
