task_name,url
"Baking Prep Slide-Open Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_slide_open_drawer_scene_1.tar.gz"
"Baking Prep Slide-Open Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_slide_open_drawer_scene_4.tar.gz"
"Baking Prep Pick Butter","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_pick_butter_scene_1.tar.gz"
"Baking Prep Pick Butter","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_pick_butter_scene_4.tar.gz"
"Baking Prep Place Butter","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_place_butter_scene_1.tar.gz"
"Baking Prep Place Butter","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_place_butter_scene_4.tar.gz"
"Baking Prep Slide-Close Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_slide_close_drawer_scene_1.tar.gz"
"Baking Prep Slide-Close Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/baking_prep/baking_prep_slide_close_drawer_scene_4.tar.gz"
"Clean Kitchen Pick Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_pick_lid_scene_3.tar.gz"
"Clean Kitchen Cap Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_cap_lid_scene_3.tar.gz"
"Clean Kitchen Slide-Close Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_slide_close_drawer_scene_3.tar.gz"
"Clean Kitchen Flap-Close Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_flap_close_oven_Scene_3.tar.gz"
"Clean Kitchen Pick Towel","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_pick_towel_scene_3.tar.gz"
"Clean Kitchen Wipe Counter","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/clean_kitchen/clean_kitchen_Wipe_Counter_Scene_3.tar.gz"
"Heat Soup Flap-Open Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_flap_open_oven_Scene_2.tar.gz"
"Heat Soup Flap-Open Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_flap_open_oven_Scene_4.tar.gz"
"Heat Soup Pick Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_pick_bowl_scene_2.tar.gz"
"Heat Soup Pick Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_pick_bowl_scene_4.tar.gz"
"Heat Soup Slide-In Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_slide_in_bowl_scene_2.tar.gz"
"Heat Soup Slide-In Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_slide_in_bowl_scene_4.tar.gz"
"Heat Soup Flap-Close Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/heat_soup/heat_soup_flap_close_oven_scene_2.tar.gz"
"Make Tea Uncap Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_Uncap_Lid_Scene_2.tar.gz"
"Make Tea Place Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_place_lid_scene_2.tar.gz"
"Make Tea Pick tea","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_pick_tea_scene_2.tar.gz"
"Make Tea Place Tea","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_place_tea_scene_2.tar.gz"
"Make Tea Pick Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_pick_lid_scene_2.tar.gz"
"Make Tea Cap Lid","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_tea/make_tea_cap_lid_scene_2.tar.gz"
"Make Toast Plunge Toaster","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_toast/make_toast_plunge_toaster_scene_2.tar.gz"
"Make Toast Pick Toast","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_toast/make_toast_pick_toast_scene_1.tar.gz"
"Make Toast Place Toast","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/make_toast/make_toast_place_toast_s_Scene_1.tar.gz"
"Serve Soup Flap-Open Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/serve_soup/serve_soup_flap_open_oven_Scene_2.tar.gz"
"Serve Soup Slide-Out Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/serve_soup/serve_soup_slide_out_sowl_scene_2.tar.gz"
"Serve Soup Place Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/serve_soup/serve_soup_place_bowl_scene_2.tar.gz"
"Serve Soup Flap-Close Oven","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/serve_soup/serve_soup_flap_close_oven_Scene_2.tar.gz"
"Stow Bowl Slide-Open Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/stow_bowl/stow_bowl_slide_open_drawer_scene_3.tar.gz"
"Stow Bowl Pick Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/stow_bowl/stow_bowl_pick_bowl_scene_3.tar.gz"
"Stow Bowl Place Bowl","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/stow_bowl/stow_bowl_place_bowl_scene_3.tar.gz"
"Stow Bowl Slide-Close Drawer","http://dl.fbaipublicfiles.com/RoboSet/TeleoperationSet/Activities/stow_bowl/stow_bowl_slide_close_drawer_scene_3.tar.gz"
